63rd Street Weather Station,3/9/2016 12:00,19,15.9,73,0,0,19.3,0,254,5.6,7.7,990.3,66,354,12,3/9/2016 12:00,63rdStreetWeatherStation201603091200
Foster Weather Station,3/9/2016 12:00,17.67,,70,,0,,,221,2.1,2.7,990.2,36,,15.1,3/9/2016 12:00,FosterWeatherStation201603091200
Oak Street Weather Station,3/9/2016 12:00,18.3,15.4,74,0,0,34.7,0,326,1.3,3.3,990.7,159,0,12,3/9/2016 12:00,OakStreetWeatherStation201603091200
63rd Street Weather Station,3/9/2016 11:00,18.7,15.7,74,0,0,19.3,0,250,7.9,11.4,989.7,367,354,11.9,3/9/2016 11:00,63rdStreetWeatherStation201603091100
Foster Weather Station,3/9/2016 11:00,17.56,,71,,0,,,230,4.7,5,989.5,119,,15.1,3/9/2016 11:00,FosterWeatherStation201603091100
Oak Street Weather Station,3/9/2016 11:00,18.1,15.2,74,0,0,34.7,0,255,1.4,3.3,990.3,62,1,12.1,3/9/2016 11:00,OakStreetWeatherStation201603091100
63rd Street Weather Station,3/9/2016 10:00,17.4,15.1,79,0,0,19.3,0,215,4.8,8.9,989.5,66,354,11.9,3/9/2016 10:00,63rdStreetWeatherStation201603091000
Foster Weather Station,3/9/2016 10:00,17.17,,74,,0,,,201,4.8,5,989.2,154,,15.1,3/9/2016 10:00,FosterWeatherStation201603091000
Oak Street Weather Station,3/9/2016 10:00,17.3,14.9,78,0,0,34.7,0,325,1,3,989.7,338,0,12.1,3/9/2016 10:00,OakStreetWeatherStation201603091000
63rd Street Weather Station,3/9/2016 9:00,17,15,81,0,0,19.3,0,234,5.4,9.8,990.1,221,354,11.9,3/9/2016 9:00,63rdStreetWeatherStation201603090900
Foster Weather Station,3/9/2016 9:00,16.78,,75,,0,,,222,3.5,4.2,989.5,122,,15.1,3/9/2016 9:00,FosterWeatherStation201603090900
Oak Street Weather Station,3/9/2016 9:00,17,14.7,79,0,0,34.7,0,36,1,2.2,990.2,69,0,12,3/9/2016 9:00,OakStreetWeatherStation201603090900
63rd Street Weather Station,3/9/2016 8:00,16.8,14.7,81,0,0,19.3,0,239,4.7,8.1,990,49,354,11.9,3/9/2016 8:00,63rdStreetWeatherStation201603090800
Foster Weather Station,3/9/2016 8:00,16.06,,77,,0.03,,,195,5.4,5.8,989.5,65,,15.1,3/9/2016 8:00,FosterWeatherStation201603090800
Oak Street Weather Station,3/9/2016 8:00,16.8,14.5,78,0,0,34.7,0,340,1.6,2.9,990.4,51,0,12.1,3/9/2016 8:00,OakStreetWeatherStation201603090800
63rd Street Weather Station,3/9/2016 7:00,16.5,14.5,81,0,0,19.3,0,219,4.3,6,988.6,20,354,11.9,3/9/2016 7:00,63rdStreetWeatherStation201603090700
Foster Weather Station,3/9/2016 7:00,16.06,,77,,0,,,210,5.1,5.6,987.8,41,,15.1,3/9/2016 7:00,FosterWeatherStation201603090700
Oak Street Weather Station,3/9/2016 7:00,16.4,14.3,80,0,0,34.7,0,97,0.8,1.9,988.6,27,0,12,3/9/2016 7:00,OakStreetWeatherStation201603090700
63rd Street Weather Station,3/9/2016 6:00,16.7,14.4,79,0,0,19.3,0,217,6,10.1,987.4,2,354,11.9,3/9/2016 6:00,63rdStreetWeatherStation201603090600
Foster Weather Station,3/9/2016 6:00,16,,74,,0,,,218,4.4,4.8,986.8,0,,15.1,3/9/2016 6:00,FosterWeatherStation201603090600
Oak Street Weather Station,3/9/2016 6:00,16.6,14.1,77,0,0,34.7,0,285,2.5,6.2,987.4,0,1,12.1,3/9/2016 6:00,OakStreetWeatherStation201603090600
63rd Street Weather Station,3/9/2016 5:00,17,14.1,73,0,0,19.3,0,218,7.3,11.6,986.8,2,354,11.9,3/9/2016 5:00,63rdStreetWeatherStation201603090500
Foster Weather Station,3/9/2016 5:00,15.67,,71,,0,,,183,3.2,3.8,986.5,0,,15.1,3/9/2016 5:00,FosterWeatherStation201603090500
Oak Street Weather Station,3/9/2016 5:00,16.5,13.6,73,0,0,34.7,0,319,2.2,8.3,987.1,0,1,12,3/9/2016 5:00,OakStreetWeatherStation201603090500
63rd Street Weather Station,3/9/2016 4:00,16.2,13.8,78,0,0,19.3,0,197,3.2,6.1,987.1,2,354,11.9,3/9/2016 4:00,63rdStreetWeatherStation201603090400
Foster Weather Station,3/9/2016 4:00,15,,81,,0.23,,,210,3.4,3.5,986.5,0,,15.1,3/9/2016 4:00,FosterWeatherStation201603090400
63rd Street Weather Station,3/9/2016 3:00,16.3,14.3,81,0,0.9,19.3,60,205,4,6.6,987,2,354,11.9,3/9/2016 3:00,63rdStreetWeatherStation201603090300
Foster Weather Station,3/9/2016 3:00,15.28,,82,,0.33,,,183,4,4.5,986.5,0,,15.1,3/9/2016 3:00,FosterWeatherStation201603090300
Oak Street Weather Station,3/9/2016 3:00,15.6,14,84,0.6,0.7,34.5,60,0,0,1.2,987.4,0,1,12.1,3/9/2016 3:00,OakStreetWeatherStation201603090300
63rd Street Weather Station,3/9/2016 2:00,17.1,14.7,78,1.8,0.4,18.3,60,211,3.9,6.9,987.4,2,354,11.9,3/9/2016 2:00,63rdStreetWeatherStation201603090200
Foster Weather Station,3/9/2016 2:00,16.28,,77,,0.18,,,207,3.4,3.8,987.5,0,,15.1,3/9/2016 2:00,FosterWeatherStation201603090200
Oak Street Weather Station,3/9/2016 2:00,16.8,14.4,77,0,0.1,33.8,60,0,0.4,0.9,988,0,0,12,3/9/2016 2:00,OakStreetWeatherStation201603090200
63rd Street Weather Station,3/9/2016 1:00,17.5,15,77,0,0,17.9,0,200,3.2,5.7,988.2,2,353,12,3/9/2016 1:00,63rdStreetWeatherStation201603090100
Foster Weather Station,3/9/2016 1:00,16.78,,74,,0.1,,,159,3.6,4,987.8,0,,15.1,3/9/2016 1:00,FosterWeatherStation201603090100
Oak Street Weather Station,3/9/2016 1:00,17,14.3,75,0,0,33.7,60,0,0,2.2,988.5,0,1,12,3/9/2016 1:00,OakStreetWeatherStation201603090100
63rd Street Weather Station,3/9/2016 0:00,18,15.3,76,0,0,17.9,0,217,4,6.8,988.8,1,354,11.9,3/9/2016 0:00,63rdStreetWeatherStation201603092400
Foster Weather Station,3/9/2016 0:00,17.06,,72,,0,,,190,6,7.1,988.5,0,,15.1,3/9/2016 0:00,FosterWeatherStation201603092400
Oak Street Weather Station,3/9/2016 0:00,17.7,14.8,74,0,0,33.7,0,297,1,2.8,989.2,0,0,12,3/9/2016 0:00,OakStreetWeatherStation201603092400
63rd Street Weather Station,3/8/2016 23:00,17.7,15.2,77,0,0,17.9,0,223,3.5,6.6,989.2,2,354,12,3/8/2016 23:00,63rdStreetWeatherStation201603082300
Foster Weather Station,3/8/2016 23:00,17,,71,,0,,,189,5.9,7.4,988.5,0,,15.1,3/8/2016 23:00,FosterWeatherStation201603082300
Oak Street Weather Station,3/8/2016 23:00,18,15.1,74,0,0,33.6,0,269,4.3,9.1,989.2,0,0,12,3/8/2016 23:00,OakStreetWeatherStation201603082300
